"year" "julian.day" "wild" "river.age" "sea.age" "length" "weight" "sea.lice" "river" "country" "sex"
"7" 2015 107 TRUE 1 2 74.2 3.98 FALSE "scorff" "fr" "M"
"13" 2014 169 FALSE 1 1 66.4 1.78 FALSE "scorff" "fr" "M"
"20" 2007 168 FALSE 1 1 60.6 1.46 FALSE "scorff" "fr" "F"
"22" 2002 157 FALSE 1 1 72.3 2.98 FALSE "scorff" "fr" "F"
"27" 2006 176 FALSE 1 1 59.9 1.54 FALSE "scorff" "fr" "M"
"29" 2014 172 FALSE 2 1 61.1 1.39 FALSE "scorff" "fr" "M"
"39" 2006 111 FALSE 2 2 77.4 3 TRUE "scorff" "fr" "F"
"40" 2000 77 FALSE 1 2 76.2 2.55 FALSE "scorff" "fr" "F"
"42" 2007 113 FALSE 1 2 83.8 3.53 FALSE "scorff" "fr" "F"
"46" 2004 103 TRUE 2 3 91.7 6.1 FALSE "scorff" "fr" "F"
"50" 2005 180 FALSE 1 1 67.3 2.12 NA "scorff" "fr" "M"
"52" 2012 109 FALSE 1 2 74.9 3.1 FALSE "scorff" "fr" "F"
"65" 2007 164 FALSE 1 1 67.9 1.97 FALSE "scorff" "fr" "M"
"67" 2000 132 TRUE 2 1 65.1 2.79 NA "scorff" "fr" "F"
"85" 2008 168 TRUE 2 1 69.4 3.36 FALSE "scorff" "fr" "M"
"88" 2012 149 TRUE 1 1 61.4 2.16 FALSE "scorff" "fr" "M"
"92" 2008 142 FALSE 2 1 74.8 2.71 FALSE "scorff" "fr" "M"
"93" 2004 154 TRUE 3 1 60 2.05 FALSE "scorff" "fr" "F"
"95" 2000 88 FALSE 1 2 80.5 3.22 TRUE "scorff" "fr" "F"
"97" 2009 142 TRUE 2 1 52.2 1.34 FALSE "scorff" "fr" "F"
"98" 2002 102 FALSE 1 2 74.8 2.93 FALSE "scorff" "fr" "M"
"99" 2016 169 FALSE 1 1 64.6 2.01 FALSE "scorff" "fr" "M"
"102" 2014 122 FALSE 1 2 81 3.38 FALSE "scorff" "fr" "F"
"112" 2017 166 FALSE 2 1 67.5 2.18 FALSE "scorff" "fr" "F"
"115" 2013 119 FALSE 2 4 91.2 5.11 FALSE "scorff" "fr" "F"
"124" 2001 107 TRUE 1 2 81.7 5.2 FALSE "scorff" "fr" "F"
"129" 2006 112 FALSE 1 2 73.1 2.93 FALSE "scorff" "fr" "F"
"132" 2016 172 FALSE 1 1 57.2 1.21 FALSE "scorff" "fr" "M"
"134" 2008 182 FALSE 2 1 67.1 2.07 FALSE "scorff" "fr" "M"
"141" 2000 82 TRUE 1 2 70.6 2.73 FALSE "scorff" "fr" "M"
"142" 2001 78 TRUE 2 2 80 3.75 FALSE "scorff" "fr" "F"
"144" 2002 142 FALSE 1 1 64.6 1.87 FALSE "scorff" "fr" "M"
"146" 2004 153 TRUE 3 1 62.5 2.04 FALSE "scorff" "fr" "F"
"148" 2007 106 FALSE 1 2 80.8 3.45 FALSE "scorff" "fr" "F"
"150" 2013 107 FALSE 2 2 68.5 2.43 FALSE "scorff" "fr" "F"
"155" 2001 156 FALSE 1 1 62.6 1.65 FALSE "scorff" "fr" "M"
"156" 2005 118 FALSE 1 2 81 3.22 FALSE "scorff" "fr" "F"
"158" 2006 141 TRUE 2 1 60.6 1.78 FALSE "scorff" "fr" "F"
"173" 2008 87 TRUE 2 2 73.2 3.01 FALSE "scorff" "fr" "F"
"179" 2003 98 TRUE 2 3 86.6 4.69 FALSE "scorff" "fr" "F"
"182" 2010 91 TRUE 1 4 83.5 5.33 FALSE "scorff" "fr" "M"
"188" 2002 96 TRUE 3 2 85.7 4.13 TRUE "scorff" "fr" "F"
"189" 2015 174 FALSE 2 1 69.8 2.33 FALSE "scorff" "fr" "F"
"205" 2001 149 TRUE 1 1 65.6 2.32 FALSE "scorff" "fr" "M"
"207" 2006 156 FALSE 1 1 63.5 1.72 FALSE "scorff" "fr" "M"
"212" 2008 78 TRUE 1 2 83.1 4.87 FALSE "scorff" "fr" "F"
"218" 2002 131 TRUE 1 1 69.7 2.83 FALSE "scorff" "fr" "F"
"226" 2005 157 FALSE 1 1 74 2.59 FALSE "scorff" "fr" "M"
"231" 2005 170 FALSE 1 1 64.5 1.57 FALSE "scorff" "fr" "F"
"235" 2008 123 FALSE 1 2 81.7 3.93 FALSE "scorff" "fr" "F"
"239" 2011 185 FALSE 1 1 67.8 1.96 FALSE "scorff" "fr" "M"
"240" 2013 99 TRUE 2 2 78.5 4.12 FALSE "scorff" "fr" "M"
"250" 2002 108 FALSE 1 2 73.1 2.56 TRUE "scorff" "fr" "F"
"253" 2003 100 FALSE 2 2 78.2 3.57 FALSE "scorff" "fr" "F"
"254" 2011 109 TRUE 1 2 74.8 3.18 FALSE "scorff" "fr" "F"
"270" 2001 162 FALSE 1 1 68.7 2.19 FALSE "scorff" "fr" "F"
"273" 2005 160 TRUE 1 1 72.7 3.06 FALSE "scorff" "fr" "M"
"296" 2017 111 FALSE 1 2 75.4 2.98 FALSE "scorff" "fr" "F"
"304" 2000 151 FALSE 1 1 62.2 1.23 FALSE "scorff" "fr" "F"
"308" 2003 146 TRUE 2 1 68.6 2.86 FALSE "scorff" "fr" "F"
"319" 2013 172 FALSE 1 1 68.2 2.23 FALSE "scorff" "fr" "M"
"329" 2013 109 TRUE 1 2 73.6 2.92 FALSE "scorff" "fr" "M"
"339" 2002 82 TRUE 2 3 79.5 4.15 FALSE "scorff" "fr" "M"
"346" 2004 87 FALSE 1 2 80.3 3.2 FALSE "scorff" "fr" "M"
"349" 2007 105 FALSE 1 3 83.2 3.95 FALSE "scorff" "fr" "F"
"359" 2012 98 TRUE 2 2 77.8 3.85 FALSE "scorff" "fr" "F"
"361" 2017 120 FALSE 1 2 70.5 2.35 FALSE "scorff" "fr" "M"
"362" 2000 104 TRUE 1 2 75.8 2.91 FALSE "scorff" "fr" "F"
"366" 2012 113 TRUE 2 3 82.4 4.59 FALSE "scorff" "fr" "F"
"373" 2010 131 FALSE 1 4 100.5 6.11 FALSE "scorff" "fr" "M"
"374" 2013 117 FALSE 1 3 78.6 3.56 FALSE "scorff" "fr" "F"
"380" 2003 89 FALSE 2 2 78.8 3.65 FALSE "scorff" "fr" "F"
"381" 2008 131 TRUE 1 1 63 2.15 FALSE "scorff" "fr" "F"
"382" 2010 113 FALSE 1 2 76.1 2.43 FALSE "scorff" "fr" "F"
"383" 2004 124 FALSE 1 2 87.1 4.78 FALSE "scorff" "fr" "F"
"391" 2015 165 FALSE 2 1 64.4 1.81 FALSE "scorff" "fr" "M"
"393" 2000 76 TRUE 2 2 83.6 4.66 FALSE "scorff" "fr" "F"
"399" 2005 104 FALSE 2 2 84.9 4.1 FALSE "scorff" "fr" "F"
"403" 2001 86 TRUE 2 2 82.1 4.67 FALSE "scorff" "fr" "M"
"409" 2000 144 TRUE 2 1 59.6 1.51 FALSE "scorff" "fr" "M"
"412" 2008 128 FALSE 1 2 84.6 3.4 FALSE "scorff" "fr" "M"
"414" 2005 92 TRUE 1 2 83.6 4.97 FALSE "scorff" "fr" "F"
"417" 2005 129 TRUE 2 1 61 1.97 FALSE "scorff" "fr" "M"
"418" 2001 151 TRUE 2 1 66.5 2.36 FALSE "scorff" "fr" "M"
"442" 2016 170 FALSE 1 1 59.3 1.41 FALSE "scorff" "fr" "F"
"455" 2009 123 FALSE 2 3 87.9 4.66 TRUE "scorff" "fr" "M"
"458" 2000 79 TRUE 2 2 76.5 4.16 FALSE "scorff" "fr" "F"
"460" 2011 114 FALSE 1 3 85.8 4.1 FALSE "scorff" "fr" "F"
"461" 2014 105 FALSE 1 2 71.7 2.4 FALSE "scorff" "fr" "F"
