"year" "julian.day" "wild" "river.age" "sea.age" "length" "weight" "sea.lice" "river" "country" "sex"
"3" 2007 105 TRUE 1 3 86.1 4.98 FALSE "nivelle" "fr" "F"
"5" 2002 92 FALSE 1 2 79.5 3.69 TRUE "nivelle" "fr" "F"
"11" 2014 85 TRUE 2 2 72.1 3.29 FALSE "nivelle" "fr" "M"
"17" 2004 100 TRUE 1 3 84.4 4.97 FALSE "nivelle" "fr" "M"
"25" 2002 110 FALSE 2 4 91.9 4.56 FALSE "nivelle" "fr" "M"
"45" 2000 128 FALSE 1 2 87.7 4.62 FALSE "nivelle" "fr" "F"
"51" 2006 119 TRUE 2 3 92.1 5.56 FALSE "nivelle" "fr" "F"
"61" 2010 154 TRUE 2 1 58.3 1.66 FALSE "nivelle" "fr" "M"
"72" 2007 155 TRUE 2 1 67.3 2.94 FALSE "nivelle" "fr" "F"
"82" 2003 140 TRUE 1 1 68 2.93 TRUE "nivelle" "fr" "F"
"89" 2008 119 FALSE 1 2 77 3.59 FALSE "nivelle" "fr" "F"
"94" 2009 93 TRUE 2 3 91.6 6.32 FALSE "nivelle" "fr" "M"
"104" 2008 111 TRUE 1 2 84.3 4.66 TRUE "nivelle" "fr" "F"
"105" 2000 93 FALSE 1 3 86.4 4.19 FALSE "nivelle" "fr" "F"
"122" 2005 141 TRUE 1 1 63.6 2.16 FALSE "nivelle" "fr" "M"
"125" 2012 177 FALSE 1 1 65.4 2.33 FALSE "nivelle" "fr" "M"
"126" 2003 86 TRUE 1 3 87 5.83 TRUE "nivelle" "fr" "F"
"138" 2001 76 TRUE 1 2 85.4 5.27 FALSE "nivelle" "fr" "M"
"160" 2002 150 TRUE 2 1 67.6 2.43 FALSE "nivelle" "fr" "M"
"162" 2015 168 FALSE 1 1 55.5 1.09 FALSE "nivelle" "fr" "M"
"165" 2007 155 FALSE 1 1 69.6 2.37 FALSE "nivelle" "fr" "M"
"170" 2013 170 FALSE 1 1 62.3 2.04 FALSE "nivelle" "fr" "M"
"174" 2003 112 FALSE 1 3 85.8 4.26 FALSE "nivelle" "fr" "F"
"177" 2008 155 TRUE 1 1 72.1 2.46 FALSE "nivelle" "fr" "M"
"184" 2008 114 FALSE 1 2 74 2.43 TRUE "nivelle" "fr" "F"
"191" 2003 98 FALSE 1 2 77.8 3.52 FALSE "nivelle" "fr" "F"
"196" 2012 104 TRUE 3 2 80 3.93 FALSE "nivelle" "fr" "F"
"201" 2007 97 FALSE 2 2 84.5 3.46 FALSE "nivelle" "fr" "F"
"204" 2003 111 FALSE 1 2 70.7 2.27 FALSE "nivelle" "fr" "F"
"213" 2000 153 TRUE 2 1 61.7 2.02 FALSE "nivelle" "fr" "F"
"217" 2010 99 TRUE 1 2 73.7 3.23 FALSE "nivelle" "fr" "F"
"219" 2001 75 TRUE 1 2 75.5 3.03 FALSE "nivelle" "fr" "F"
"221" 2001 99 FALSE 1 2 83.5 4.05 FALSE "nivelle" "fr" "F"
"229" 2006 106 TRUE 2 2 77.7 4.07 FALSE "nivelle" "fr" "F"
"242" 2007 152 FALSE 1 1 73.3 2.74 FALSE "nivelle" "fr" "M"
"248" 2012 118 TRUE 2 2 71.9 3.15 FALSE "nivelle" "fr" "F"
"260" 2004 107 TRUE 3 2 78.1 4.89 FALSE "nivelle" "fr" "F"
"269" 2004 153 TRUE 2 1 61.1 1.82 FALSE "nivelle" "fr" "M"
"292" 2006 136 FALSE 1 2 83.1 4.31 FALSE "nivelle" "fr" "M"
"299" 2005 114 FALSE 2 4 90.7 5.34 FALSE "nivelle" "fr" "F"
"309" 2009 99 TRUE 1 2 78.9 3.82 FALSE "nivelle" "fr" "M"
"310" 2002 95 TRUE 2 3 87.9 5.39 TRUE "nivelle" "fr" "F"
"311" 2004 142 TRUE 2 1 69.3 3.01 FALSE "nivelle" "fr" "M"
"315" 2002 148 TRUE 1 1 74.6 3.25 FALSE "nivelle" "fr" "F"
"320" 2007 155 TRUE 2 1 62.5 1.59 FALSE "nivelle" "fr" "F"
"323" 2010 115 FALSE 1 2 78.5 3.43 FALSE "nivelle" "fr" "F"
"326" 2006 150 TRUE 2 1 61.1 1.85 FALSE "nivelle" "fr" "F"
"330" 2003 97 FALSE 1 4 89.2 5.4 FALSE "nivelle" "fr" "M"
"344" 2008 104 TRUE 2 3 85.7 5.4 FALSE "nivelle" "fr" "F"
"350" 2001 81 TRUE 2 4 87.6 5.22 FALSE "nivelle" "fr" "F"
"351" 2005 103 FALSE 1 2 79.6 3.67 FALSE "nivelle" "fr" "M"
"353" 2014 173 FALSE 2 1 66.4 1.62 FALSE "nivelle" "fr" "F"
"370" 2002 107 FALSE 1 2 73.3 2.73 FALSE "nivelle" "fr" "M"
"376" 2006 85 TRUE 2 2 77.1 3.88 FALSE "nivelle" "fr" "F"
"379" 2002 162 FALSE 1 1 66.1 1.98 FALSE "nivelle" "fr" "M"
"384" 2003 173 FALSE 1 1 70.1 2.5 FALSE "nivelle" "fr" "F"
"400" 2014 102 TRUE 2 2 79.9 4.34 FALSE "nivelle" "fr" "F"
"415" 2003 165 TRUE 1 1 61.8 2.05 FALSE "nivelle" "fr" "M"
"425" 2004 77 TRUE 2 2 80.2 4.4 FALSE "nivelle" "fr" "F"
"429" 2006 101 FALSE 1 2 85.4 4.38 TRUE "nivelle" "fr" "M"
"435" 2003 85 TRUE 2 2 75.4 3.89 FALSE "nivelle" "fr" "F"
"445" 2008 108 FALSE 1 2 80.2 3.5 FALSE "nivelle" "fr" "F"
"456" 2002 83 TRUE 1 2 70.8 3.12 FALSE "nivelle" "fr" "F"
"466" 2001 66 TRUE 1 2 82.4 4.35 FALSE "nivelle" "fr" "F"
"469" 2001 104 FALSE 1 2 75.4 3.33 FALSE "nivelle" "fr" "F"
"480" 2009 113 FALSE 1 2 78.5 2.77 FALSE "nivelle" "fr" "F"
"495" 2015 152 TRUE 2 1 61.5 2.1 FALSE "nivelle" "fr" "F"
"497" 2009 98 TRUE 2 2 77.4 4.11 FALSE "nivelle" "fr" "F"
"499" 2012 141 TRUE 1 1 64.4 2.22 FALSE "nivelle" "fr" "M"
"500" 2002 154 FALSE 1 1 70 2.46 FALSE "nivelle" "fr" "M"
"501" 2014 171 FALSE 2 1 52.7 0.99 FALSE "nivelle" "fr" "M"
"511" 2002 104 FALSE 1 3 81.1 3.03 FALSE "nivelle" "fr" "F"
"514" 2014 155 TRUE 1 1 62.8 2.02 FALSE "nivelle" "fr" "M"
"516" 2005 143 TRUE 1 1 61.1 2.38 FALSE "nivelle" "fr" "M"
"522" 2000 119 FALSE 2 4 93.8 5.82 FALSE "nivelle" "fr" "F"
"533" 2015 110 TRUE 3 2 75.3 3.51 FALSE "nivelle" "fr" "F"
"542" 2006 135 TRUE 2 1 62.5 1.86 FALSE "nivelle" "fr" "M"
"545" 2013 134 TRUE 2 1 61.9 1.99 FALSE "nivelle" "fr" "M"
"546" 2011 148 TRUE 2 1 65 2.63 FALSE "nivelle" "fr" "M"
"550" 2000 159 FALSE 1 1 68.7 2.32 FALSE "nivelle" "fr" "M"
"573" 2008 146 FALSE 2 1 76.8 2.69 FALSE "nivelle" "fr" "F"
"582" 2004 96 FALSE 1 3 87.6 5.22 FALSE "nivelle" "fr" "F"
"593" 2001 136 TRUE 2 1 65 2.45 FALSE "nivelle" "fr" "M"
"595" 2006 151 FALSE 1 1 72.1 2.43 FALSE "nivelle" "fr" "M"
"609" 2011 175 FALSE 2 1 65.9 1.88 FALSE "nivelle" "fr" "M"
"626" 2006 156 TRUE 1 1 68.4 2.6 FALSE "nivelle" "fr" "M"
"635" 2003 166 FALSE 1 1 63.1 1.6 FALSE "nivelle" "fr" "F"
"641" 2001 106 TRUE 2 2 80.7 4.66 FALSE "nivelle" "fr" "F"
"642" 2012 163 FALSE 1 1 68.9 2.49 FALSE "nivelle" "fr" "F"
"645" 2010 144 TRUE 1 1 69.9 3.2 FALSE "nivelle" "fr" "F"
"651" 2004 107 FALSE 2 3 85.3 3.76 FALSE "nivelle" "fr" "F"
"662" 2004 115 FALSE 1 2 76.4 3.21 FALSE "nivelle" "fr" "F"
"664" 2000 99 FALSE 1 2 75.7 3.47 TRUE "nivelle" "fr" "M"
"666" 2002 146 FALSE 1 1 58.1 1.29 FALSE "nivelle" "fr" "F"
"669" 2013 158 FALSE 1 1 62.1 1.36 FALSE "nivelle" "fr" "M"
"672" 2000 118 FALSE 1 3 94.2 5.47 TRUE "nivelle" "fr" "F"
"686" 2007 159 FALSE 1 1 62.8 1.57 FALSE "nivelle" "fr" "M"
"696" 2012 147 TRUE 1 1 68 2.42 FALSE "nivelle" "fr" "M"
"699" 2000 116 FALSE 1 2 84.2 3.96 FALSE "nivelle" "fr" "F"
"700" 2003 117 FALSE 1 2 73.9 2.8 FALSE "nivelle" "fr" "F"
"703" 2001 100 TRUE 2 4 89.2 5.46 TRUE "nivelle" "fr" "F"
"706" 2005 84 FALSE 2 2 82.3 4.06 TRUE "nivelle" "fr" "F"
"714" 2002 98 FALSE 1 2 77.2 3.83 FALSE "nivelle" "fr" "F"
"738" 2008 125 FALSE 1 2 71.9 2.43 FALSE "nivelle" "fr" "F"
"754" 2001 90 TRUE 2 3 93.1 5.9 FALSE "nivelle" "fr" "M"
"784" 2007 168 FALSE 2 1 61.5 1.59 FALSE "nivelle" "fr" "M"
"786" 2000 111 FALSE 1 2 87.6 4.36 FALSE "nivelle" "fr" "F"
"800" 2000 125 TRUE 1 1 65.1 2.28 TRUE "nivelle" "fr" "F"
"801" 2014 107 TRUE 1 2 75.5 3.57 FALSE "nivelle" "fr" "F"
"803" 2010 108 FALSE 1 2 68.2 2.3 FALSE "nivelle" "fr" "F"
