"year" "julian.day" "wild" "river.age" "sea.age" "length" "weight" "sea.lice" "river" "country" "sex"
"6" 2000 128 FALSE 1 2 73.3 2.73 FALSE "oir" "fr" "M"
"8" 2002 75 TRUE 2 2 81.3 4.65 FALSE "oir" "fr" "M"
"32" 2011 118 FALSE 1 2 82.3 4.36 FALSE "oir" "fr" "M"
"33" 2003 97 FALSE 1 3 87.8 4.95 FALSE "oir" "fr" "F"
"44" 2008 90 TRUE 3 2 79.8 3.82 FALSE "oir" "fr" "M"
"47" 2000 114 FALSE 1 3 98 6.43 FALSE "oir" "fr" "F"
"53" 2000 77 TRUE 2 4 86.6 6.17 TRUE "oir" "fr" "F"
"56" 2008 153 TRUE 1 1 62.8 2.11 FALSE "oir" "fr" "F"
"106" 2004 94 FALSE 1 2 76.2 2.2 TRUE "oir" "fr" "M"
"114" 2006 91 FALSE 1 2 81.2 3.3 FALSE "oir" "fr" "M"
"137" 2003 152 TRUE 1 1 69.7 2.08 FALSE "oir" "fr" "M"
"139" 2002 79 TRUE 2 3 90.1 5.15 TRUE "oir" "fr" "F"
"140" 2008 194 FALSE 1 1 58.6 1.34 FALSE "oir" "fr" "F"
"152" 2006 91 FALSE 2 2 82 2.99 FALSE "oir" "fr" "M"
"166" 2000 97 FALSE 2 2 77.1 3.43 FALSE "oir" "fr" "F"
"168" 2015 101 TRUE 2 3 87.6 5.53 FALSE "oir" "fr" "F"
"183" 2009 86 TRUE 1 2 75.3 3.63 FALSE "oir" "fr" "F"
"198" 2000 126 TRUE 2 1 68.8 2.46 FALSE "oir" "fr" "M"
"200" 2009 138 TRUE 3 1 60.1 1.9 FALSE "oir" "fr" "F"
"206" 2000 88 TRUE 3 2 78 3.47 FALSE "oir" "fr" "F"
"214" 2005 108 FALSE 1 3 82.1 3.31 FALSE "oir" "fr" "F"
"225" 2006 121 FALSE 2 3 80.9 4.63 FALSE "oir" "fr" "F"
"241" 2003 165 FALSE 1 1 68 2.07 FALSE "oir" "fr" "F"
"243" 2002 99 FALSE 1 2 79.6 3.72 FALSE "oir" "fr" "F"
"249" 2004 77 TRUE 2 2 81.3 4.28 FALSE "oir" "fr" "F"
"280" 2005 99 TRUE 1 4 85.7 5.09 FALSE "oir" "fr" "F"
"281" 2015 192 FALSE 1 1 64.2 1.92 FALSE "oir" "fr" "M"
"283" 2010 94 TRUE 1 2 68.3 2.51 FALSE "oir" "fr" "F"
"285" 2009 144 TRUE 2 1 58 1.72 FALSE "oir" "fr" "F"
"302" 2008 143 TRUE 1 1 62.7 1.77 FALSE "oir" "fr" "M"
"352" 2011 99 TRUE 3 2 83.4 4.61 FALSE "oir" "fr" "F"
"357" 2007 163 FALSE 2 1 67.5 2.07 FALSE "oir" "fr" "F"
"363" 2004 117 FALSE 1 2 81.1 3.83 FALSE "oir" "fr" "F"
"371" 2000 83 TRUE 1 3 80.5 4.03 FALSE "oir" "fr" "M"
"372" 2013 154 TRUE 2 1 68.4 2.28 FALSE "oir" "fr" "F"
"386" 2005 161 FALSE 2 1 64.1 1.66 FALSE "oir" "fr" "M"
"390" 2000 147 FALSE 1 1 68.5 2.14 FALSE "oir" "fr" "M"
"395" 2000 129 TRUE 1 1 59.9 1.91 FALSE "oir" "fr" "M"
"396" 2006 105 FALSE 2 2 80.3 3.63 FALSE "oir" "fr" "F"
"397" 2005 84 TRUE 2 2 86.1 4.8 FALSE "oir" "fr" "F"
"411" 2004 144 FALSE 1 1 71 2.32 FALSE "oir" "fr" "M"
"413" 2017 132 FALSE 1 2 74.1 2.77 FALSE "oir" "fr" "M"
"426" 2002 86 TRUE 2 2 79.2 4.1 FALSE "oir" "fr" "F"
"439" 2015 163 FALSE 2 1 63.2 1.9 FALSE "oir" "fr" "F"
"444" 2006 108 TRUE 2 2 77.9 3.95 FALSE "oir" "fr" "F"
"477" 2008 119 FALSE 1 2 81.3 3.38 FALSE "oir" "fr" "M"
